co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
125123,5120,5176,5037,910850,5093.14,267655,10
125123,5064.85,5237,5064.85,1652861,5183.84,458575,10
125123,5217.75,5259,5116.35,1625022,5199.5,735916,10
125123,5099,5119,4950,1333296,5006.33,462634,10
125123,5005,5038.65,4956,974421,4995.48,343046,10
125123,5015,5080,4995.7,919851,5045.39,516455,10
125123,5070,5230,5068,1629308,5164.75,597464,10
125123,5160,5225,5094.25,630475,5159.65,174704,10
125123,5153.7,5219,5126.6,834935,5174.95,339828,10
125123,5140,5214,5115,549221,5158.6,158102,10
125123,5155,5190,4865.45,597997,5058.04,156155,10
125123,5039.95,5091.1,4891.2,576026,4985.1,152260,10
125123,4999.6,5075,4980.25,449498,5027.75,141748,10
125123,5099,5124.35,5011.65,431767,5051.24,122631,10
125123,5055.4,5160,5055.4,410405,5110.35,140554,10
125123,5160,5172.75,5081.6,401258,5136.56,125754,10
125123,5157.05,5400,5120.05,1002535,5255.57,209677,10
125123,5374,5379,5261.2,728164,5303.87,138506,10
