co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
163226,91.15,94,90.75,46638129,92.05,12682350,5
163226,93,93.45,90.05,34326971,91.64,8192970,5
163226,91.5,92.85,90.9,25763702,91.87,7004923,5
163226,91,92.2,88.7,25329334,90.89,7085021,5
163226,92.6,104.4,92.6,146821189,98.37,22009296,5
163226,98.25,102.55,97.45,75021883,100.07,20778259,5
163226,102.5,102.5,99.2,33553433,100.24,5778566,5
163226,101.9,103.6,100.65,34618175,102.44,8799050,5
163226,105.1,105.6,100.7,41881430,102.93,8894215,5
163226,101.5,102.3,98.15,36480527,99.26,10864887,5
163226,98.9,98.95,88.95,58724337,92.9,15043073,5
163226,89.05,92.3,86.6,58602960,89.14,13153701,5
163226,90.5,91.3,88.3,29216106,89.79,5929351,5
163226,92.5,95.5,92.15,46351620,94.26,8291050,5
163226,94,95.15,93.3,17759262,93.96,4751675,5
163226,94.2,94.65,92,17678810,93.18,4298157,5
163226,93.5,94.5,92.75,15960705,93.42,3320942,5
163226,93.3,95.55,92.55,43701316,93.58,13791868,5
