nse_closing_price
433.25
423.2
428.45
434
447.35
444.15
453.75
439.6
440.05
417.7
426.65
434
433.1
434
446.2
478.95
460.85
445.6
431.55
437.05
440.9
425.85
431.65
417.35
429.15
434.95
433
433.3
431.1
448
451.1
448.1
435.85
438.15
445.8
444.2
434.95
440.45
445.8
451.8
463.35
473.05
509.2
496.75
485.7
484.4
474.95
455.2
458.7
444.35
431.25
446.85
447.2
440.55
449.55
446
442.9
443.35
423.35
412
419.75
402.45
415.05
439.25
426.85
424.65
443.7
444.15
449.65
453.1
451.9
468.05
468
461.35
471.3
462.6
472.4
492.95
493.95
501.45
510.3
507.2
493.35
508.1
504.7
493.85
492.5
522.65
534.15
525.15
539.3
541.75
565.05
583.6
608.65
599.7
610.35
613.15
628.8
636.3
611.5
607.85
595.6
619.65
599.85
612.55
601.6
603.65
608.1
602.7
614.5
619.25
620.65
634.2
627.05
613.25
615.9
607.1
606.1
605.4
609.5
582.5
589.75
592.45
610.2
617.65
630.2
625.1
620.45
