co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
140829,7828.8,7835,7690,1037296,7766.34,322903,5
140829,7748,8013.15,7700,1885285,7828.18,312975,5
140829,7775,7799.95,7692,822760,7726.95,251115,5
140829,7760,7850,7710,1186739,7776.21,166849,5
140829,7779.95,7795.7,7700,706875,7738.7,183137,5
140829,7810,7825,7655,1038032,7713.84,282168,5
140829,7696.8,7790,7640.55,891801,7720.89,274127,5
140829,7820,7899,7770,963504,7820.28,219833,5
140829,7799.9,7831.9,7625,734075,7743.96,260899,5
140829,7714,7727,7541.75,1078328,7601.76,423555,5
140829,7560,7599,7278.1,970306,7497.25,243586,5
140829,7380,7438,7205.1,1138240,7323.74,395569,5
140829,7400.4,7555.6,7394,951805,7474.9,262458,5
140829,7507.25,7532.75,7414.2,589281,7463.58,112711,5
140829,7465,7543,7454,521320,7492.13,108261,5
140829,7520,7545,7418.3,538719,7469.74,143100,5
140829,7497,7635,7430,1029800,7546.9,201109,5
140829,7614.65,7697,7580,908515,7646.68,239335,5
