co_code,nse_opening_price,nse_high_price,nse_low_price,nse_traded_qty,nse_avg_rate,nse_delivery_qty,equity_facevalue_on_stkdate
100632,1134,1147.45,1121,6741637,1130.35,2686601,5
100632,1147,1147,1122.7,16212632,1128.63,10480192,5
100632,1125,1137,1115,10564055,1127.86,5755999,5
100632,1147.3,1153,1136,7792141,1142.07,4205599,5
100632,1145,1167,1145,12308330,1154.21,6171142,5
100632,1168.05,1179.5,1157,10039346,1169.97,5208984,5
100632,1157.4,1171.65,1150,9488782,1164.18,5527270,5
100632,1159.7,1171.95,1155.25,10574009,1163.84,7059725,5
100632,1169.4,1172.6,1148.2,6728187,1159.72,3574438,5
100632,1156,1163.7,1152,6905926,1156.78,3747407,5
100632,1160,1168.9,1153.6,7788404,1160.77,4190351,5
100632,1165.9,1168.9,1156.2,6658153,1162.88,3675884,5
100632,1182.85,1195,1175.6,15995676,1187.95,7480210,5
100632,1188,1209.75,1152.05,10858352,1192.94,3829220,5
100632,1182,1223.85,1176.1,10901851,1200.28,4259458,5
100632,1238,1258.85,1230.55,15878346,1245.77,6867798,5
100632,1249.9,1249.9,1226,7313885,1236.34,2637421,5
100632,1238.45,1248,1236,4607051,1240.58,2098658,5
100632,1235,1254.45,1235,6878105,1246.33,3219736,5
100632,1253,1253.3,1238.15,5194690,1247.48,2378603,5
100632,1243,1258.4,1239,7430470,1249.41,3974062,5
